,0,1,2,3,4,5,6,7,8,11,12,13
14,NOTARÍA 10, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE E 197 INT. 7, NUEVA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2016, 686 55 22 405,tobias.duarte@notaria10mexicali.com,,
15,NOTARÍA 11, MEXICALI, BAJA CALIFORNIA, CARACTER: ADSCRITO, PASAJE JALAPA 1003, CENTRO CIVICO  MEXICALI, BAJA CALIFORNIA, Socio desde: 2018, 016865572143,g.cardenas@notaria11.com.mx,,
16,NOTARÍA 2, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE SEPTIMA Y AV. OBREGON 313, CENTRO  ENSENADA, BAJA CALIFORNIA, Socio desde: 1973, 0164 6174 0668,not2eda@gmail.com,,
17,NOTARÍA 9, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, AVENIDA DIEGO RIVERA 2361 INT. 9, ZONA URBANA RIO TIJUANA  TIJUANA, BAJA CALIFORNIA, Socio desde: 2014, 01 664 634 3517,notaria9tj@yahoo.com.mx,,
18,NOTARÍA 9, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. DIEGO RIVERA 2361 INT. 9, ZONA URBANA RIO TIJUANA  TIJUANA, BAJA CALIFORNIA, Socio desde: 1991, 0166 4634 3531,notaria9tj@yahoo.com.mx,,
19,NOTARÍA 21, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD AGUA CALIENTE 11300 INT. 210, AVIACION  TIJUANA, BAJA CALIFORNIA, Socio desde: 2003, ,casanovaa@prodigy.net.mx,,
20,NOTARÍA 1, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALZADA CETYS 1800 INT. LOCAL 1-D, ZONA B, FRACC. CATAVIÑA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2018,, 'com');hacosta@notariapublicauno.com],
21,NOTARÍA 12, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. LAS AMERICAS ESQ. CON PRIVADA ALVARADO 236, FRACC. LOMAS DE AGUA CALIENTE 4ta. SECCION  TIJUANA, BAJA CALIFORNIA, Socio desde: 2013, 016646844112,hmlopez@notaria12tijuana.com,,
22,NOTARÍA 10, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD SALINAS 4601 INT. LOCALES 3 4 5 Y 6, AVIACION  TIJUANA, BAJA CALIFORNIA, Socio desde: 2010, 01 664 621 1276,ingridfdez@yahoo.com,,
23,NOTARÍA 17, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. DE LOS CHARROS 4786, FRACCIONAMIENTO JOSE SANDOVAL LA MEZA  TIJUANA, BAJA CALIFORNIA, Socio desde: 2008, 01 664 621 1094,notaria17tj@infinitummail.com,,
24,NOTARÍA 16, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD. DIAZ ORDAZ 13327 INT. DESP 207, FRACC LAS PALMAS  TIJUANA, BAJA CALIFORNIA, Socio desde: 1993, 01664 6816820,notaria16_persson@hotmail.com,,
25,NOTARÍA 5, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, BLVD. SANCHEZ TABOADA 10110 INT. 201, ZONA URBANA RIO TIJUANA  TIJUANA, BAJA CALIFORNIA, Socio desde: 2011, 01 664 684 9778,notaria5tijuana@yahoo.com,,
26,NOTARÍA 2, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, AV MADERO 1362, SEGUNDA SECCION  MEXICALI, BAJA CALIFORNIA, Socio desde: 2013, ,jcbejarano@notarias7y2.com,,
27,NOTARÍA 14, MEXICALI, BAJA CALIFORNIA, CARACTER: ADSCRITO, LERDO DE TEJADA 1299, SEGUNDA SECCION  MEXICALI, BAJA CALIFORNIA, Socio desde: 2016, 01686 5519414,jcnavarro@notaria14.com.mx,,
28,NOTARÍA 7, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. JALISCO 2592 INT. LOCAL 7, DAVILA  TIJUANA, BAJA CALIFORNIA, Socio desde: 1997, 01 66 4686 4509,jjthomas@notariasiete.com,,
29,NOTARÍA 7, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, MADERO 1362, 2DA. SECCION  MEXICALI, BAJA CALIFORNIA, Socio desde: 1984, 0168 6557 3207,lydiacoordinacion@notarias7y2.com,,
30,NOTARÍA 2, TECATE, BAJA CALIFORNIA, CARACTER: ADSCRITO, AVE. NUEVO LEON 300 INT. 5, FRACC. EL PEDREGAL  TECATE, BAJA CALIFORNIA, Socio desde: 2018, 01 665 654 22 50,janaya@notaria2tecate.com,,
31,NOTARÍA 7, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE SEGUNDA Y SOTO 205 INT. 7, OBRERA  ENSENADA, BAJA CALIFORNIA, Socio desde: 2011, ,lorenagutierrez@notaria7ensenada.com,,
32,NOTARÍA 8, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE G 125, NUEVA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2008, 01 686 552 2018,notaria-8@prodigy.net.mx,,
33,NOTARÍA 5, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, PASAJE CELAYA 1079, CENTRO CIVICO  MEXICALI, BAJA CALIFORNIA, Socio desde: 1993, TODOS LOS TELEFONOS,alfonso.vidales@gmail.com,,
34,NOTARÍA 1, PLAYAS DE ROSARITO, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD. BENITO JUAREZ 43, CENTRO  PLAYAS DE ROSARITO, BAJA CALIFORNIA, Socio desde: 1999, 0166 1612 3435,durazoluis@hotmail.com,,
35,NOTARÍA 6, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALZADA DE LOS PRESIDENTES 828 INT. 1, FRACCIONAMIENTO RIO NUEVO  MEXICALI, BAJA CALIFORNIA, Socio desde: 2016, 686 55 40 940,notaria6mexicali@gmail.com,,
36,NOTARÍA 11, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD. AGUA CALIENTE 4558 INT. 202, AVIACION  TIJUANA, BAJA CALIFORNIA, Socio desde: 1990, 0166 4681 7095,mmayo@prodigy.net.mx,,
37,NOTARÍA 19, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, PASEO DE LOS HEROES 9211 INT. 109, ZONA RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2006, ,elopez@notaria19tj.com,,
38,NOTARÍA 18, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, AVENIDA GUANAJUATO 2437, CACHO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2017, 01 664 684 93 58,melanie.graciano@notaria18tj.com,,
39,NOTARÍA 4, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE A 122, CENTRO  MEXICALI, BAJA CALIFORNIA, Socio desde: 2005, ,notariaiv@prodigy.net.mx,,
40,NOTARÍA 11, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, BOULEVARD AGUA CALIENTE 4558 INT. NIVEL C1 LOCAL 34, AVIACION  TIJUANA, BAJA CALIFORNIA, Socio desde: 2018, 01664 6818420,notariaoncetj@gmail.com,,
41,NOTARÍA 1, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. LOPEZ MATEOS 2030 INT. 1, FRACCIONAMIENTO GRANADOS  ENSENADA, BAJA CALIFORNIA, Socio desde: 1993, 0164 6177 1166,notaria1eda@hotmail.com,,
42,NOTARÍA 3, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, CALLE ANTONIO CASO 2040, ZONA RIO TIJUANA  TIJUANA, BAJA CALIFORNIA, Socio desde: 2016, 664 2002 427,pedrochavez@notaria3.net,,
43,NOTARÍA 18, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. GUANAJUATO 2437, CACHO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2005, LOS MISMOS,licgraciano@yahoo.com.mx,,
44,NOTARÍA 4, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, EDMUNDO O┤GORMAN 2333, ZONA RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2009, ,rhernandez@notariacuatro.com.mx,,
45,NOTARÍA 12, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, CALLE ASTURIAS 1198, FRACC. VILLAFONTANA  MEXICALI, BAJA CALIFORNIA, Socio desde: 1999, TEL Y FAX,notaria12mexicali@gmail.com,,
46,NOTARÍA 8, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, AV SONORA 13 INT. 3, CHAPULTEPEC  TIJUANA, BAJA CALIFORNIA, Socio desde: 2014, ,rdm@notariaocho.com,,
47,NOTARÍA 8, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. SONORA 13 INT. 3, FRACC CHAPULTEPEC  TIJUANA, BAJA CALIFORNIA, Socio desde: 1996, 0166 4686 3137,ricardo@notariaocho.com,,
48,NOTARÍA 11, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, PASAJE JALAPA 1003, CENTRO CIVICO  MEXICALI, BAJA CALIFORNIA, Socio desde: 2004, 0168 6557 1025,nota11@prodigy.net.mx,,
49,NOTARÍA 13, BAJA CALIFORNIA, BAJA CALIFORNIA, CARACTER: TITULAR, BOULEVARD LAZARO CARDENAS 591, EX EJIDO COAHUILA  BAJA CALIFORNIA, BAJA CALIFORNIA, Socio desde: 1997, 01 686 837 3600,notaria13mxl@prodigy.net.mx   ,,
50,NOTARÍA 3, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, BOULEVARD LAZARO CARDENAS 1800 INT. 2-A, FRACCIONAMIENTO PLAYA ENSENADA  ENSENADA, BAJA CALIFORNIA, Socio desde: 2007, 01 646 182 9000,rarmada@notariatresbc.com,,
51,NOTARÍA 20, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, VIA RAPIDA PONIENTE, FRAC. CHIHUAHUA 15035, C.C. PLAZA MUNDO DIVERTIDO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2009,, 'com');notaria20tijuana@hotmail.com],
52,NOTARÍA 16, SAN FELIPE, BAJA CALIFORNIA, CARACTER: TITULAR, AV. MAR DE CORTEZ 614 INT. 300, SECCION II  SAN FELIPE, BAJA CALIFORNIA, Socio desde: 2017, 6865772119,rubencontrerasmiyagui@notaria16sf.com,,
53,NOTARÍA 1, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. REVOLUCION 1692 INT. 2do. PISO, CENTRO  TIJUANA, BAJA CALIFORNIA, Socio desde: 1993, 0166 4685 4567,notaria_uno_tij@hotmail.com,,
54,NOTARÍA 9, MEXICALI, BAJA CALIFORNIA, CARACTER: ADSCRITO, AVENIDA PINO SUAREZ 1595, NUEVA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2014, ,virgilio.valdes@notaria9.com,,
55,NOTARÍA 3, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, ANTONIO CASO 2040, ZONA URBANA RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2004, ,xiv@notaria3.net,,
56,NOTARÍA 2, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, 16 DE SEPTIEMBRE 1685, VICENTE GUERRERO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 1993, ,notaria2bcs@prodigy.net.mx,,
57,NOTARÍA 2, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: ADSCRITO, 16 DE SEPTIEMBRE 1685, VICENTE GUERRERO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2006, 01 612 1220 734,alez6810@hotmail.com,,
58,NOTARÍA 1, LOS CABOS, BAJA CALIFORNIA SUR, CARACTER: TITULAR, LEONA VICARIO 2330, CENTRO  LOS CABOS, BAJA CALIFORNIA SUR, Socio desde: 2004, 0162 4143 5077,armandoaguilar@notariaunobcs.com.mx,,
59,NOTARÍA 3, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, ISABEL LA CATOLICA 2100 INT. 1, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 1999, 0161 2175 2701,carlos.aramburo@notaria3bcs.com,,
60,NOTARÍA 31, SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, CARACTER: TITULAR, CARR. TRANSP. KM 25 LOCAL 1 INT. AL 4, CERRO COLORADO  SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, Socio desde: 2017, 624 1040088,e.kaufmann@notaria31bcs.com,,
61,NOTARÍA 5, CONSTITUCION, BAJA CALIFORNIA SUR, CARACTER: TITULAR, ALVARO OBREGON 125, CENTRO  CONSTITUCION, BAJA CALIFORNIA SUR, Socio desde: 2013, 16131321295,notaria5bcs@gmail.com,,
62,NOTARÍA 14, CABO SAN LUCAS, BAJA CALIFORNIA SUR, CARACTER: TITULAR, CARRETERA A TODOS SANTOS INT. LOCAL 1 A, EJIDAL  CABO SAN LUCAS, BAJA CALIFORNIA SUR, Socio desde: 2005, 0162 4144 4923,fernandogonzalezrubio@notaria14cabo.com,,
63,NOTARÍA 30, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, MEXICO 2695, LOS OLIVOS  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2017, 612 1286977,flopez@notaria30bcs.com,,
64,NOTARÍA 32, CABO SAN LUCAS, BAJA CALIFORNIA SUR, CARACTER: TITULAR, MARIANO ABASOLO 650, CENTRO  CABO SAN LUCAS, BAJA CALIFORNIA SUR, Socio desde: 2017, 01 624 688 13 78,notaria32bcs@gmail.com,,
65,NOTARÍA 29, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, AV. PERLA Y AQUILES SERDAN 395, PUESTA DEL SOL  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2017, 612 1464400,notaria29bcs@gmail.com,,
66,NOTARÍA 7, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: ADSCRITO, IGNACIO RAMIREZ 1930, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2017, 01 612 12 29 120,titular@notaria7bcs.com,,
67,NOTARÍA 20, SANTA ROSALIA, BAJA CALIFORNIA SUR, CARACTER: TITULAR, AVENIDA ALVARO OBREGON S/N, CENTRO  SANTA ROSALIA, BAJA CALIFORNIA SUR, Socio desde: 2007, 01 615 15 21470,notaria20santillan@prodigy.net.mx,,
68,NOTARÍA 26, LA PAZ., BAJA CALIFORNIA SUR, CARACTER: TITULAR, ROSALES 583-4, CENTRO  LA PAZ., BAJA CALIFORNIA SUR, Socio desde: 2014, ,hugomendoza@outlook.com,,
69,NOTARÍA 11, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, ISABEL LA CATOLICA 705, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 1993, TODOS LOS TELS.,jalvarez@notariaoncebcs.com,,
70,NOTARÍA 7, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, IGNACIO RAMIREZ 1930, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2000, (612) 122 9120 OFICINA,titular@notaria7bcs.com,,
71,NOTARÍA 10, SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, CARACTER: TITULAR, VALERIO GONZALEZ CANSECO 166, PRIMERO DE MAYO  SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, Socio desde: 1999, 01 624 142 5848,jose@notariapublica10cabo.com,,
72,NOTARÍA 22, LOS BARRILES, BAJA CALIFORNIA SUR, CARACTER: TITULAR, ENTRADA PRINCIPAL, PLAZA DEL PUEBLO S/N INT. LOCAL 15, CENTRO  LOS BARRILES, BAJA CALIFORNIA SUR, Socio desde: 2007,, 'net');karim@notariapublica22.net],
73,NOTARÍA 33, CIUDAD CONSTITUCION, BAJA CALIFORNIA SUR, CARACTER: TITULAR, BOULEVARD AGUSTIN OLACHEA 207 INT. B, ZONA CENTRO  CIUDAD CONSTITUCION, BAJA CALIFORNIA SUR, Socio desde: 2017, 613 320364,sgallo@notaria33bcs.com.mx,,
74,NOTARÍA 34, SANTA ROSALIA, BAJA CALIFORNIA SUR, CARACTER: TITULAR, E. CARRANZA 1 INT. PLANTA ALTA, CENTRO  SANTA ROSALIA, BAJA CALIFORNIA SUR, Socio desde: 2017, 01 615 152 1133,notaria34bcs@gmail.com,,
75,NOTARÍA 16, CONSTITUCION, BAJA CALIFORNIA SUR, CARACTER: TITULAR, MARIANO MATAMOROS 210, CENTRO  CONSTITUCION, BAJA CALIFORNIA SUR, Socio desde: 2004, 0161 3132 3396,notaria16bcs@prodigy.net.mx,,
76,NOTARÍA 21, GUERRERO NEGRO, BAJA CALIFORNIA SUR, CARACTER: TITULAR, BLVD. EMILIANO ZAPATA PONIENTE 44, FUNDO LEGAL  GUERRERO NEGRO, BAJA CALIFORNIA SUR, Socio desde: 2005, 01 615 157 26 26,notaria21bcs@hotmail.com,,
77,NOTARÍA 17, CABO SAN LUCAS, BAJA CALIFORNIA SUR, CARACTER: TITULAR, PRIVADA CAMINO REAL 4115, EL MEDANO  CABO SAN LUCAS, BAJA CALIFORNIA SUR, Socio desde: 2004, 0162 4105 0131,pilar@notaria17.com,,
78,NOTARÍA 9, LA PAZ., BAJA CALIFORNIA SUR, CARACTER: ADSCRITO, ISABEL LA CATOLICA 1745, CENTRO  LA PAZ., BAJA CALIFORNIA SUR, Socio desde: 2009, 01 612 125 8060,mariaeugenia74@hotmail.com,,
79,NOTARÍA 24, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: SUPLENTE, VALENTIN GOMEZ FARIAS S/N, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2011, 01 612 125 4053,fernanda.sanchez@notaria24bcs.com.mx,,
80,NOTARÍA 4, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: ADSCRITO, CALLE CONSTITUYENTES 4688 INT. LOCAL 2, RESIDENCIAL EL CARDON  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2002, 0161 21215430,rosaliafort@hotmail.com,,
81,NOTARÍA 12, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, AV. REVOLUCION DE 1910 2315 INT. A, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2005, 0161 2123 1844,notaria12bcs@gmail.com,,
82,NOTARÍA 13, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, 5 DE MAYO 712, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2005, TODOS LOS TELS.,nancyhevia@notaria13bcs.com.mx,,
83,NOTARÍA 9, LA PAZ, BAJA CALIFORNIA SUR, CARACTER: TITULAR, ISABEL LA CATOLICA 1745, CENTRO  LA PAZ, BAJA CALIFORNIA SUR, Socio desde: 2004, 0161 2125 8060,notaria9bcs@hotmail.com,,
84,NOTARÍA 19, LORETO, BAJA CALIFORNIA SUR, CARACTER: TITULAR, BENITO JUAREZ 21, CENTRO  LORETO, BAJA CALIFORNIA SUR, Socio desde: 2006, ,rfzm@notaria19bcs.com,,
85,NOTARÍA 18, SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, CARACTER: TITULAR, BENITO JUAREZ 1710, CENTRO  SAN JOSE DEL CABO, BAJA CALIFORNIA SUR, Socio desde: 2005, 01 624 130 7918,rcevallos@notaria18bcs.mx,,
86,NOTARÍA 6, SANTA ROSALIA, BAJA CALIFORNIA SUR, CARACTER: TITULAR, CALLE SEIS 19, CENTRO  SANTA ROSALIA, BAJA CALIFORNIA SUR, Socio desde: 2017, 615 15 202 48,notariaseis@hotmail.com,,
87,NOTARÍA 2, CAMARGO, CHIHUAHUA, CARACTER: TITULAR, CALLE HIDALGO 123, CENTRO  CAMARGO, CHIHUAHUA, Socio desde: 2010, 01 648 462 5202,notariadoscamargo@hotmail.com,,
88,NOTARÍA 18, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AVENIDA 16 DE SEPTIEMBRE 2026, PARTIDO ROMERO  JUAREZ, CHIHUAHUA, Socio desde: 2016, 6566124455,alejandro@alvarez.mx,,
89,NOTARÍA 7, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, PASEO BOLIVAR 702, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2017, 6144166721,abm@notaria7.mx,,
90,NOTARÍA 19, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. EJERCITO NACIONAL 7695 INT. C, PARTIDO IGLESIAS  CD. JUAREZ, CHIHUAHUA, Socio desde: 1993, ,agonzalez@egao.com.mx,,
91,NOTARÍA 1, JOSE MARIANO JIMENEZ, CHIHUAHUA, CARACTER: TITULAR, SOR JUANA INES DE LA CRUZ 1004 INT. LOCAL 4, ABRAHAM GONZALEZ  JOSE MARIANO JIMENEZ, CHIHUAHUA, Socio desde: 2017, 01 629 542 67 48,notaria1jimenez@gmail.com,,
92,NOTARÍA 27, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ANTONIO DE ESCORZA 2309, OBRERA  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, ,notaria27chih@prodigy.net.mx,,
93,NOTARÍA 27, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, PASEO TRIUNFO DE LA REPUBLICA 4020 INT. 1, MONUMENTAL  CD. JUAREZ, CHIHUAHUA, Socio desde: 1995, 01656 639 1527,antonio.suarez@notaria27juarez.com,,
94,NOTARÍA 23, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE CORONADO 310, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1991, ,not23chi@prodigy.net.mx,,
95,NOTARÍA 16, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ALLENDE 703, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2010, LOS MISMOS,carlosgarza@notaria16chih.com.mx,,
96,NOTARÍA 17, CIUDAD JUAREZ, CHIHUAHUA, CARACTER: TITULAR, BULEVARD TOMAS FERNANDEZ 7818 INT. 7 Y 8, FRACCIONAMIENTO CAMPESTRE  CIUDAD JUAREZ, CHIHUAHUA, Socio desde: 1997, ,notaria17cdj@hotmail.com,,
97,NOTARÍA 4, CD JUAREZ, CHIHUAHUA, CARACTER: TITULAR, PASEO TRIUNFO DE LA REPUBLICA, EDIF. CUADRANTE 3304 INT. 101, PARTIDO ESCOBEDO  CD JUAREZ, CHIHUAHUA, Socio desde: 1981,, 'com');eduardo.romero@bakermckenzie.com],
98,NOTARÍA 25, JUAN ALDAMA, CHIHUAHUA, CARACTER: TITULAR, AVENIDA CONSTITUCION 4803, ALDAMA CENTRO  JUAN ALDAMA, CHIHUAHUA, Socio desde: 2015, 01 614 451 0387,elsaordonezo@yahoo.com,,
99,NOTARÍA 3, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, CALLE 23 642 A, SAN ANTONIO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 2016, 6255828284,enrique@aguilaryasociados.com,,
100,NOTARÍA 18, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE CUARTA 2023, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, 01 614-415-11-79,notario@aguilaryasociados.com,,
101,NOTARÍA 24, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, AV. TEOFILO BORUNDA 2417, JARDINES DEL SANTUARIO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2008, 01 614 411 6317,egarcia@notario24.com.mx,,
102,NOTARÍA 4, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, AVENIDA HIDALGO 663, CENTRO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 2017, 625 582 59 69,fihchagelsieb@yahoo.com.mx,,
